2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
21077,Goughs Bay,328,939,VIC,436
21078,Goulburn Weir,90,939,VIC,427
21079,Gowanbrae,2971,1044,VIC,2110
21080,Gowanford,8,1019,VIC,1732
21081,Gowangardie,18,1035,VIC,2012
21082,Gowar East,23,983,VIC,1065
21083,Gower,45,969,VIC,890
21084,Grahamvale,685,965,VIC,825
21086,Grand Ridge,10,994,VIC,1289
21087,Grangefields,132,891,VIC,114
21088,Granite Rock,261,962,VIC,776
21089,Grantville,1168,895,VIC,135
21090,Granya,88,1019,VIC,1719
21091,Grassdale,54,1072,VIC,2454
21092,Grassmere,385,1046,VIC,2134
21094,Graytown,60,961,VIC,746
21095,Gre Gre,10,963,VIC,784
21096,Gre Gre North,13,963,VIC,798
21097,Gre Gre South,19,1073,VIC,2469
21098,Great Western,425,964,VIC,813
21099,Gredgwin,13,1069,VIC,2420
21100,Green Gully,71,1046,VIC,2136
21101,Greendale,623,958,VIC,705
21102,Greenhill,60,1073,VIC,2465
21103,Greens Creek,52,972,VIC,934
21104,Greensborough,21070,1061,VIC,2351
21105,Greenvale,21274,1016,VIC,1683
21106,Greenwald,58,1000,VIC,1389
21107,Grenville,113,1002,VIC,1423
21108,Greta,86,979,VIC,1012
21109,Greta South,131,1043,VIC,2108
21110,Greta West,157,979,VIC,1011
21111,Grey River,4,1033,VIC,1968
21112,Gringegalgona,44,1092,VIC,2594
21113,Gritjurk,61,1141,VIC,2766
21114,Grovedale,14869,974,VIC,972
21115,Gruyere,966,1035,VIC,2015
21116,Guildford,330,1033,VIC,1990
21117,Gunbower,578,935,VIC,388
21118,Gundowring,208,1025,VIC,1839
21120,Guys Forest,20,997,VIC,1333
21121,Guys Hill,388,1071,VIC,2453
21122,Gymbowen,60,1070,VIC,2421
21123,Haddon,1276,936,VIC,402
21124,Hadfield,6269,996,VIC,1313
21125,Hallam,11355,937,VIC,417
21126,Hallora,136,980,VIC,1020
21127,Halls Gap,495,1022,VIC,1794
21128,Hallston,157,1019,VIC,1749
21129,Hamilton,10346,937,VIC,419
21130,Hamlyn Heights,6518,1002,VIC,1431
21131,Hampton,13518,1143,VIC,2769
21132,Hampton East,5069,1097,VIC,2641
21133,Hampton Park,26082,914,VIC,233
21134,Hansonville,155,1043,VIC,2109
21135,Happy Valley (Golden Plains - Vic.),87,922,VIC,281
21136,Happy Valley (Swan Hill - Vic.),75,940,VIC,451
21137,Harcourt,1038,992,VIC,1236
21138,Harcourt North,291,1099,VIC,2654
21139,Harkaway,1011,1072,VIC,2461
21140,Harkness,12463,928,VIC,329
21141,Harmers Haven,62,1003,VIC,1454
21142,Harrietville,488,1030,VIC,1938
21143,Harrow,184,1026,VIC,1844
21144,Harston,167,972,VIC,915
21145,Hastings,10369,909,VIC,195
21146,Hattah,27,956,VIC,677
21147,Havelock,83,908,VIC,189
21148,Haven,1443,991,VIC,1198
21149,Havilah,22,1038,VIC,2044
21150,Hawkesdale,311,974,VIC,958
21151,Hawkhurst,6,951,VIC,605
21152,Hawthorn,22322,1169,VIC,2813
21153,Hawthorn East,14834,1164,VIC,2806
21154,Hazel Park,55,1010,VIC,1569
21155,Hazelwood,189,946,VIC,537
21156,Hazelwood North,1552,950,VIC,584
21157,Hazelwood South,289,957,VIC,691
21158,Healesville,7589,983,VIC,1061
21159,Heath Hill,189,994,VIC,1287
